Movie,Genre,Rating,Duration
The Shawshank Redemption,Drama,9.3,2H22M
The Godfather,"Crime, Drama",9.2,2H55M
The Dark Knight,"Action, Crime, Drama",9.0,2H32M
The Godfather Part II,"Crime, Drama",9.0,3H22M
12 Angry Men,"Crime, Drama",9.0,1H36M
The Lord of the Rings: The Return of the King,"Adventure, Drama, Fantasy",9.0,3H21M
Schindler's List,"Biography, Drama, History",9.0,3H15M
Pulp Fiction,"Crime, Drama",8.8,2H34M
The Lord of the Rings: The Fellowship of the Ring,"Adventure, Drama, Fantasy",8.9,2H58M
"Il buono, il brutto, il cattivo","Adventure, Drama, Western",8.8,2H58M
Forrest Gump,"Drama, Romance",8.8,2H22M
The Lord of the Rings: The Two Towers,"Adventure, Drama, Fantasy",8.8,2H59M
Fight Club,"Crime, Drama, Thriller",8.8,2H19M
Inception,"Action, Adventure, Sci-Fi",8.8,2H28M
Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy",8.7,2H4M
The Matrix,"Action, Sci-Fi",8.7,2H16M
GoodFellas,"Biography, Crime, Drama",8.7,2H25M
Interstellar,"Adventure, Drama, Sci-Fi",8.7,2H49M
One Flew Over the Cuckoo's Nest,Drama,8.7,2H13M
Se7en,"Crime, Drama, Mystery",8.6,2H7M
It's a Wonderful Life,"Drama, Family, Fantasy",8.6,2H10M
The Silence of the Lambs,"Crime, Drama, Horror",8.6,1H58M
Shichinin no samurai,"Action, Drama",8.6,3H27M
Saving Private Ryan,"Drama, War",8.6,2H49M
The Green Mile,"Crime, Drama, Fantasy",8.6,3H9M
Cidade de Deus,"Crime, Drama",8.6,2H10M
La vita è bella,"Comedy, Drama, Romance",8.6,1H56M
Terminator 2: Judgment Day,"Action, Adventure, Sci-Fi",8.6,2H17M
Star Wars,"Action, Adventure, Fantasy",8.6,2H1M
Back to the Future,"Adventure, Comedy, Sci-Fi",8.5,1H56M
Sen to Chihiro no kamikakushi,"Animation, Adventure, Family",8.6,2H4M
The Pianist,"Biography, Drama, Music",8.5,2H30M
Gladiator,"Action, Adventure, Drama",8.5,2H35M
Gisaengchung,"Drama, Thriller",8.5,2H12M
Psycho,"Drama, Horror, Mystery",8.5,1H49M
The Lion King,"Animation, Adventure, Drama",8.5,1H28M
Hotaru no haka,"Animation, Drama, War",8.5,1H28M
The Departed,"Crime, Drama, Thriller",8.5,2H31M
Whiplash,"Drama, Music",8.5,1H46M
Seppuku,"Drama, Mystery",8.6,2H13M
The Prestige,"Drama, Mystery, Sci-Fi",8.5,2H10M
American History X,"Crime, Drama",8.5,1H59M
Léon,"Action, Crime, Drama",8.5,1H50M
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure",8.5,2H20M
Casablanca,"Drama, Romance, War",8.5,1H42M
The Usual Suspects,"Crime, Drama, Mystery",8.5,1H46M
Nuovo Cinema Paradiso,"Drama, Romance",8.5,2H54M
Intouchables,"Comedy, Drama",8.5,1H52M
Alien,"Horror, Sci-Fi",8.5,1H57M
Modern Times,"Comedy, Drama, Romance",8.5,1H27M
Rear Window,"Drama, Mystery, Thriller",8.5,1H52M
C'era una volta il West,"Drama, Western",8.5,2H46M
Django Unchained,"Drama, Western",8.5,2H45M
City Lights,"Comedy, Drama, Romance",8.5,1H27M
Apocalypse Now,"Drama, Mystery, War",8.4,2H27M
WALL·E,"Animation, Adventure, Family",8.4,1H38M
Memento,"Drama, Mystery, Thriller",8.4,1H53M
Dune: Part Two,"Action, Adventure, Drama",8.5,2H46M
Raiders of the Lost Ark,"Action, Adventure",8.4,1H55M
Avengers: Infinity War,"Action, Adventure, Sci-Fi",8.4,2H29M
Das Leben der Anderen,"Drama, Mystery, Thriller",8.4,2H17M
Sunset Boulevard,"Drama, Film-Noir",8.4,1H50M
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure",8.4,1H57M
Witness for the Prosecution,"Crime, Drama, Mystery",8.4,1H56M
Paths of Glory,"Drama, War",8.4,1H28M
The Shining,"Drama, Horror",8.4,2H26M
The Great Dictator,"Comedy, Drama, War",8.4,2H5M
12th Fail,"Biography, Drama",8.7,2H27M
Inglourious Basterds,"Adventure, Drama, War",8.4,2H33M
Aliens,"Action, Adventure, Horror",8.4,2H17M
The Dark Knight Rises,"Action, Crime, Drama",8.4,2H44M
Coco,"Animation, Adventure, Drama",8.4,1H45M
Amadeus,"Biography, Drama, Music",8.4,2H40M
Avengers: Endgame,"Action, Adventure, Sci-Fi",8.4,3H1M
Toy Story,"Animation, Adventure, Comedy",8.3,1H21M
Good Will Hunting,"Drama, Romance",8.3,2H6M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Comedy, War",8.3,1H35M
Oldeuboi,"Action, Drama, Mystery",8.3,2H
Das Boot,"Drama, War",8.4,2H29M
Braveheart,"Biography, Drama, War",8.3,2H58M
Tengoku to jigoku,"Crime, Drama, Mystery",8.4,2H23M
American Beauty,Drama,8.3,2H2M
Mononoke-hime,"Animation, Adventure, Fantasy",8.3,2H13M
Kimi no na wa.,"Animation, Drama, Fantasy",8.4,1H46M
3 Idiots,"Comedy, Drama",8.4,2H50M
Joker,"Crime, Drama, Thriller",8.3,2H2M
Capharnaüm,Drama,8.4,2H6M
Once Upon a Time in America,"Crime, Drama",8.3,3H49M
Singin' in the Rain,"Comedy, Musical, Romance",8.3,1H43M
Idi i smotri,"Drama, Thriller, War",8.3,2H22M
Requiem for a Dream,Drama,8.3,1H42M
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy",8.3,2H11M
Toy Story 3,"Animation, Adventure, Comedy",8.3,1H43M
Jagten,Drama,8.3,1H55M
Ikiru,Drama,8.3,2H23M
Eternal Sunshine of the Spotless Mind,"Drama, Romance, Sci-Fi",8.3,1H48M
Incendies,"Drama, Mystery, War",8.3,2H11M
2001: A Space Odyssey,"Adventure, Sci-Fi",8.3,2H29M
The Apartment,"Comedy, Drama, Romance",8.3,2H5M
Lawrence of Arabia,"Adventure, Biography, Drama",8.3,3H47M
Reservoir Dogs,"Crime, Thriller",8.3,1H39M
Scarface,"Crime, Drama",8.3,2H50M
Heat,"Action, Crime, Drama",8.3,2H50M
Double Indemnity,"Crime, Drama, Film-Noir",8.3,1H47M
North by Northwest,"Adventure, Drama, Mystery",8.3,2H16M
Up,"Animation, Adventure, Comedy",8.3,1H36M
Citizen Kane,"Drama, Mystery",8.3,1H59M
M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller",8.3,1H39M
Full Metal Jacket,"Drama, War",8.2,1H56M
Vertigo,"Mystery, Romance, Thriller",8.2,2H8M
Le fabuleux destin d'Amélie Poulain,"Comedy, Romance",8.3,2H2M
Taare Zameen Par,"Drama, Family",8.3,2H42M
Hababam Sinifi: Sinifta Kaldi,Comedy,8.7,1H35M
Jodaeiye Nader az Simin,Drama,8.3,2H3M
To Kill a Mockingbird,"Crime, Drama",8.3,2H9M
Die Hard,"Action, Thriller",8.2,2H12M
Indiana Jones and the Last Crusade,"Action, Adventure",8.2,2H7M
A Clockwork Orange,"Crime, Sci-Fi",8.2,2H16M
The Sting,"Comedy, Crime, Drama",8.2,2H9M
Metropolis,"Drama, Sci-Fi",8.3,2H33M
Oppenheimer,"Biography, Drama, History",8.3,3H
Snatch,"Comedy, Crime",8.2,1H42M
1917,"Action, Drama, War",8.2,1H59M
L.A. Confidential,"Crime, Drama, Mystery",8.2,2H18M
Ladri di biciclette,Drama,8.2,1H29M
Der Untergang,"Biography, Drama, History",8.2,2H36M
Dangal,"Action, Biography, Drama",8.3,2H41M
The Wolf of Wall Street,"Biography, Comedy, Crime",8.2,3H
Hamilton,"Biography, Drama, History",8.3,2H40M
Green Book,"Biography, Comedy, Drama",8.2,2H10M
Taxi Driver,"Crime, Drama",8.2,1H54M
Batman Begins,"Action, Crime, Drama",8.2,2H20M
The Truman Show,"Comedy, Drama",8.2,1H43M
Per qualche dollaro in più,"Drama, Western",8.2,2H12M
Judgment at Nuremberg,"Drama, War",8.3,2H59M
Some Like It Hot,"Comedy, Music, Romance",8.2,2H1M
Shutter Island,"Drama, Mystery, Thriller",8.2,2H18M
The Kid,"Comedy, Drama, Family",8.2,1H8M
The Father,"Drama, Mystery",8.2,1H37M
Jurassic Park,"Action, Adventure, Sci-Fi",8.2,2H7M
All About Eve,Drama,8.2,2H18M
There Will Be Blood,Drama,8.2,2H38M
The Sixth Sense,"Drama, Mystery, Thriller",8.2,1H47M
Ran,"Action, Drama, War",8.2,2H40M
Casino,"Crime, Drama",8.2,2H58M
Top Gun: Maverick,"Action, Drama",8.2,2H10M
